"","county_fips","state","county","avg_county_collectivism_score","county_collectivism_score"
"1",1001,"Alabama","Autauga",33.3935615736405,33.7209864921408
"2",1003,"Alabama","Baldwin",33.3935615736405,31.0352566426622
"3",1005,"Alabama","Barbour",33.3935615736405,31.7685324780855
"4",1007,"Alabama","Bibb",33.3935615736405,35.7996721310527
"5",1009,"Alabama","Blount",33.3935615736405,37.7657846589173
"6",1011,"Alabama","Bullock",33.3935615736405,33.9568076458336
"7",1013,"Alabama","Butler",33.3935615736405,34.5879466145026
"8",1015,"Alabama","Calhoun",33.3935615736405,34.9171323071138
"9",1017,"Alabama","Chambers",33.3935615736405,38.5893293666796
"10",1019,"Alabama","Cherokee",33.3935615736405,31.3492605962076
"11",1021,"Alabama","Chilton",33.3935615736405,39.5396046005311
"12",1023,"Alabama","Choctaw",33.3935615736405,35.602846629914
"13",1025,"Alabama","Clarke",33.3935615736405,35.4732948593814
"14",1027,"Alabama","Clay",33.3935615736405,36.3199890498277
"15",1029,"Alabama","Cleburne",33.3935615736405,37.8637424621078
"16",1031,"Alabama","Coffee",33.3935615736405,33.5369661682916
"17",1033,"Alabama","Colbert",33.3935615736405,31.2644387151855
"18",1035,"Alabama","Conecuh",33.3935615736405,26.0129842834506
"19",1037,"Alabama","Coosa",33.3935615736405,34.5992849852324
"20",1039,"Alabama","Covington",33.3935615736405,32.716424203295
"21",1041,"Alabama","Crenshaw",33.3935615736405,35.5364390362799
"22",1043,"Alabama","Cullman",33.3935615736405,36.7406375510364
"23",1045,"Alabama","Dale",33.3935615736405,29.9931494592522
"24",1047,"Alabama","Dallas",33.3935615736405,27.2353634472539
"25",1049,"Alabama","De Kalb",33.3935615736405,38.0833575656947
"26",1051,"Alabama","Elmore",33.3935615736405,35.1567840304761
"27",1053,"Alabama","Escambia",33.3935615736405,28.2277776267557
"28",1055,"Alabama","Etowah",33.3935615736405,33.708311019633
"29",1057,"Alabama","Fayette",33.3935615736405,33.6129069891394
"30",1059,"Alabama","Franklin",33.3935615736405,34.2446662889673
"31",1061,"Alabama","Geneva",33.3935615736405,31.9483730029687
"32",1063,"Alabama","Greene",33.3935615736405,18.8378315992248
"33",1065,"Alabama","Hale",33.3935615736405,28.4072256918491
"34",1067,"Alabama","Henry",33.3935615736405,30.3691259032704
"35",1069,"Alabama","Houston",33.3935615736405,35.1471172956809
