"","FIPS","State","County","living_alone","living_alone_65over","divorce_marriage","libertarian_votes","self_employed","carpool_drive_alone","religious_adherents","living_grandchildren","living_alone_reversed","living_alone_65over_reversed","divorce_marriage_reversed","libertarian_votes_reversed","self_employed_reversed","county_collectivism_raw","county_collectivism_score"
"1",1001,"Alabama","Autauga County",0.2405,0.0827,0.217825106729985,0.00131128124867814,0.0695,0.116288596446311,0.676879661358597,0.0377,0.7595,0.9173,4.5908390222418,0.998688718751322,0.9305,3.6779933510814,59.971221415066
"2",1003,"Alabama","Baldwin County",0.2294,0.0975,0.18240565017897,0.00270227113605935,0.1348,0.130030521380699,0.531742243436754,0.0337,0.7706,0.9025,5.482286316344,0.997297728863941,0.8652,1.44552210929905,53.6286700981262
"3",1005,"Alabama","Barbour County",0.2748,0.1192,0.267682056163731,0.000945829750644884,0.1234,0.140289924523781,0.54998725279528,0.0368,0.7252,0.8808,3.73577524893314,0.999054170249355,0.8766,0.149510979816767,49.9466441251942
"4",1007,"Alabama","Bibb County",0.2409,0.1146,0.231311405382315,0.00127255900046275,0.0941,0.148061589221886,0.498799912720925,0.0613,0.7591,0.8854,4.32317636195753,0.998727440999537,0.9059,2.93761874622761,57.8677838266404
"5",1009,"Alabama","Blount County",0.2391,0.1103,0.234534653465346,0.00333786623810112,0.1162,0.187713841368585,0.65161718014026,0.0529,0.7609,0.8897,4.26376224248565,0.996662133761899,0.8838,3.05888544155942,58.2123079682207
"6",1011,"Alabama","Bullock County",0.31,0.1247,0.275934334614041,0.00110803324099723,0.0807,0.131310096153846,0.577240241891149,0.0445,0.69,0.8753,3.62405063291139,0.998891966759003,0.9193,0.314336784259884,50.4149216570479
"7",1013,"Alabama","Butler County",0.319,0.1307,0.291363311920057,0.000720980533525595,0.0601,0.125708472605726,0.586145987492242,0.0428,0.681,0.8693,3.43214110730034,0.999279019466474,0.9399,0.204175943705412,50.1019497489413
"8",1015,"Alabama","Calhoun County",0.2923,0.1118,0.252032171581769,0.0027821778156858,0.0732,0.111011033551002,0.713617042809432,0.045,0.7077,0.8882,3.967747425751,0.997217822184314,0.9268,1.29930840476166,53.2132703801313
"9",1017,"Alabama","Chambers County",0.2975,0.132,0.20952791549903,0.00180529553356512,0.0788,0.131028446389497,0.65032880315651,0.0415,0.7025,0.868,4.77263374485597,0.998194704466435,0.9212,0.957686990908071,52.2427085615602
"10",1019,"Alabama","Cherokee County",0.2393,0.0977,0.149698312075155,0.00451513596716265,0.0984,0.217605540018644,0.479241217438147,0.0277,0.7607,0.9023,6.68010204081633,0.995484864032837,0.9016,2.76687720147431,57.3826994102039
"11",1021,"Alabama","Chilton County",0.2426,0.1029,0.202272371918486,0.00168681473151532,0.109,0.220934220454078,0.698577091400683,0.0453,0.7574,0.8971,4.94382891007472,0.998313185268485,0.891,4.62595608247947,62.664426217847
"12",1023,"Alabama","Choctaw County",0.2744,0.1258,0.206141078838174,0.000633392449961996,0.084,0.178386605783866,0.701421458979724,0.0416,0.7256,0.8742,4.85104669887279,0.999366607550038,0.916,3.06575938844381,58.2318371608249
"13",1025,"Alabama","Clarke County",0.3091,0.1276,0.212373037857802,0.00119091924078898,0.1015,0.0812431842966194,0.792397321255758,0.0403,0.6909,0.8724,4.70869565217391,0.998809080759211,0.8985,0.463804945190553,50.8395674321911
"14",1027,"Alabama","Clay County",0.2305,0.0807,0.154434030281182,0.00234638510045461,0.1005,0.21729755630091,0.739664082687339,0.0362,0.7695,0.9193,6.47525676937442,0.997653614899545,0.8995,5.94779293764644,66.4198242402759
"15",1029,"Alabama","Cleburne County",0.2582,0.1104,0.28335535006605,0.00754775107825015,0.1159,0.188298587760592,0.76562917445899,0.052,0.7418,0.8896,3.52913752913753,0.99245224892175,0.8841,1.50978940662007,53.8112563835084
"16",1031,"Alabama","Coffee County",0.2601,0.1057,0.218438301510402,0.00178855325914149,0.0916,0.130746198555745,0.661107551853928,0.0317,0.7399,0.8943,4.57795172863666,0.998211446740858,0.9084,1.78995869183697,54.607229937685
"17",1033,"Alabama","Colbert County",0.2866,0.1263,0.198724007561437,0.00293845348790404,0.085,0.117895583945277,0.694587344749026,0.0291,0.7134,0.8737,5.0321046373365,0.997061546512096,0.915,0.361503393179569,50.548924116708
"18",1035,"Alabama","Conecuh County",0.2883,0.1224,0.187042842215256,0.000720149791156561,0.0693,0.12682570593963,0.570758996068945,0.0458,0.7117,0.8776,5.3463687150838,0.999279850208843,0.9307,1.99406805693494,55.1871138341371
"19",1037,"Alabama","Coosa County",0.2529,0.1157,0.239191919191919,0.00161783210497933,0.0799,0.161240786240786,0.532801802582546,0.0566,0.7471,0.8843,4.18074324324324,0.998382167895021,0.9201,2.87855744479816,57.6999880099909
"20",1039,"Alabama","Covington County",0.2775,0.1319,0.204319355244931,0.00183695445619814,0.1187,0.13303022648817,0.619250628889183,0.0409,0.7225,0.8681,4.89429892141757,0.998163045543802,0.8813,0.535203450568192,51.0424138007512
"21",1041,"Alabama","Crenshaw County",0.3092,0.1523,0.24168752234537,0.000794786202511524,0.1406,0.150758251561106,0.631669782827556,0.0399,0.6908,0.8477,4.13757396449704,0.999205213797489,0.8594,-0.916043668580046,46.9193553915374
"22",1043,"Alabama","Cullman County",0.2449,0.1044,0.227298811313021,0.00252088939243733,0.1079,0.209310164032657,0.781023804193717,0.03,0.7551,0.8956,4.39949507093051,0.997479110607563,0.8921,3.43342318601885,59.2763865641305
"23",1045,"Alabama","Dale County",0.2589,0.081,0.219617378538331,0.00181159420289855,0.0819,0.131411967028405,0.492169310063481,0.0385,0.7411,0.919,4.553373720493,0.998188405797101,0.9181,2.20949407215892,55.7991488431395
"24",1047,"Alabama","Dallas County",0.3077,0.1287,0.276451780801547,0.000959140610013428,0.0735,0.142534315366589,0.605796439981743,0.0752,0.6923,0.8713,3.61726734803658,0.999040859389987,0.9265,2.43783205989509,56.4478673474223
"25",1049,"Alabama","DeKalb County",0.2486,0.1125,0.210038135867106,0.00270664168228191,0.1073,0.174659122530377,0.553657061694019,0.0466,0.7514,0.8875,4.76104016002462,0.997293358317718,0.8927,2.2931887336824,56.0369291449555
"26",1051,"Alabama","Elmore County",0.2171,0.0701,0.234404177876246,0.00183593180824712,0.0989,0.137950556708813,0.469679583370112,0.0484,0.7829,0.9299,4.26613556575749,0.998164068191753,0.9011,3.52205946006384,59.5282062096207
"27",1053,"Alabama","Escambia County",0.2755,0.124,0.207219601677149,0.00190813684067057,0.0707,0.136802052915671,0.600589785745975,0.0438,0.7245,0.876,4.82579829276004,0.998091863159329,0.9293,1.77849891699054,54.5746722013596
"28",1055,"Alabama","Etowah County",0.2742,0.1131,0.230344767656579,0.00333057648031831,0.102,0.13662355942641,0.804424016087331,0.0357,0.7258,0.8869,4.34131849476563,0.996669423519682,0.898,1.54827700465589,53.9206013824671
"29",1057,"Alabama","Fayette County",0.2795,0.1186,0.180444024563061,0.00175945708181475,0.1111,0.148961126005362,0.640276086073894,0.0442,0.7205,0.8814,5.54188481675393,0.998240542918185,0.8889,1.96009539161327,55.0905959623082
"30",1059,"Alabama","Franklin County",0.2356,0.1029,0.184132866652941,0.00213803130077824,0.0972,0.216964461024936,0.643956598536462,0.0378,0.7644,0.8971,5.43086097651882,0.997861968699222,0.9028,4.31062989850848,61.7685703313389
"31",1061,"Alabama","Geneva County",0.3015,0.1268,0.249581239530988,0.00291670241056876,0.1146,0.135940629049358,0.61545352743561,0.0371,0.6985,0.8732,4.00671140939597,0.997083297589431,0.8854,-0.710064929351455,47.5045502640648
"32",1063,"Alabama","Greene County",0.3486,0.117,0.251986379114642,0.000377002827521206,0.1255,0.19991134751773,0.268103924820343,0.0675,0.6514,0.883,3.96846846846847,0.999622997172479,0.8745,0.0210952237335549,49.5818091801263
