county_fips,candidatevotes,totalvotes
1001,19838,27770
1003,83544,109679
1005,5622,10518
1007,7525,9595
1009,24711,27588
1011,1146,4613
1013,5458,9488
1015,35101,50983
1017,8753,15284
1019,10583,12301
1021,16085,19310
1023,4296,7464
1025,7324,13135
1027,5601,6930
1029,6484,7227
1031,16899,22275
1033,19203,27886
1035,3442,6441
1037,3631,5479
1039,14586,17430
1041,4864,6617
1043,36880,41851
1045,14303,19738
1047,5524,17864
1049,24767,29356
1051,30164,41030
1053,10869,15910
1055,35528,47728
1057,7300,8766
1059,10376,12578
1061,10848,12545
1063,875,4775
1065,3192,7900
1067,6607,9298
1069,32618,46173
1071,19670,23636
1073,138843,325848
1075,6174,7193
1077,31721,44339
1079,12322,16031
1081,42221,71449
1083,34640,49235
1085,1836,6835
1087,1541,8723
1089,102780,194767
1091,5343,10900
1093,12205,13807
1095,33191,39655
1097,101243,183164
1099,6147,10668
1101,33311,99139
1103,39664,53722
1105,1339,5230
1107,5594,9668
1109,8042,13841
1111,8559,10837
1113,9864,21329
1115,36166,44441
1117,79700,114950
1119,1598,6291
1121,22235,35663
1123,14963,20991
1125,51117,90172
1127,26002,31170
1129,6564,8876
1131,1833,5903
1133,10195,11284
2001,3511,7314
2002,3674,6136
2003,6076,8385
2004,4690,10511
2005,4077,8654
2006,5770,9460
2007,7027,9622
2008,7618,9912
2009,7787,10993
2010,8081,11205
2011,7096,10628
2012,7893,11238
2013,4652,7713
2014,6714,11443
2015,2671,5559
2016,3516,8118
2017,2810,7239
2018,2760,7720
2019,1975,5301
2020,2383,7497
2021,3690,9429
2022,4684,9520
2023,3655,7739
2024,5378,10428
2025,4407,9325
2026,5243,10111
2027,4324,9506
2028,6162,12749
2029,7464,10747
2030,7180,10176
2031,6971,12410
2032,4440,8335
2033,3059,10955
2034,4543,10729
2035,4769,10102
2036,5114,9292
2037,2358,5142
2038,1737,5299
2039,1939,5891
2040,1994,4603
2099,59,433
4001,7262,35172
4001,4053,35172
4001,127,35172
4003,25934,60442
4003,7714,60442
4003,1909,60442
4005,20311,73272
4005,6446,73272
4005,295,73272
4007,15005,27662
4007,3260,27662
4007,112,27662
4009,7289,14995
4009,3314,14995
4009,146,14995
4011,1571,3685
4011,840,3685
4011,22,3685
4012,2936,7458
4012,1606,7458
4012,587,7458
4013,889400,2068144
4013,103086,2068144
4013,3179,2068144
4015,56914,104668
4015,20938,104668
4015,683,104668
4017,18787,51767
4017,8722,51767
4017,148,51767
4019,165747,520397
4019,33667,520397
4019,8344,520397
4021,80293,184974
4021,26277,184974
4021,507,184974
4023,4279,19556
4023,1879,19556
4023,36,19556
4025,76416,143221
4025,14845,143221
4025,266,143221
4027,30226,69881
4027,5651,69881
4027,657,69881
5001,145,6292
5001,3658,6292
5001,500,6292
5001,1,6292
5003,286,7926
5003,4018,7926
5003,1232,7926
5003,12,7926
5005,1160,21007
5005,12136,21007
5005,2540,21007
5005,0,21007
5007,5400,119912
5007,56966,119912
5007,11599,119912
5007,0,119912
5009,711,17114
5009,9235,17114
5009,3700,17114
5009,6,17114
5011,117,3654
5011,1444,3654
5011,772,3654
5011,2,3654
5013,72,2182
5013,958,2182
5013,582,2182
5013,24,2182
5015,627,11797
5015,4862,11797
5015,1892,11797
5015,43,11797
5017,183,4103
5017,1207,4103
5017,362,4103
5017,0,4103
5019,280,8395
5019,3076,8395
5019,1249,8395
5019,11,8395
5021,133,5183
5021,954,5183
5021,2981,5183
5021,18,5183
5023,423,12680
5023,6289,12680
5023,3581,12680
5023,35,12680
5025,84,3600
5025,1570,3600
5025,1168,3600
5025,45,3600
5027,294,8616
5027,4419,8616
5027,756,8616
5027,31,8616
5029,282,8685
5029,3358,8685
5029,2054,8685
5029,0,8685
5031,1321,38511
5031,17156,38511
5031,7036,38511
5031,45,38511
5033,964,24091
5033,13335,24091
5033,4268,24091
5033,40,24091
5035,287,16367
5035,5895,16367
5035,1072,16367
5035,79,16367
5037,161,6942
5037,3791,6942
5037,976,6942
5037,18,6942
5039,44,2649
5039,884,2649
5039,645,2649
5039,0,2649
5041,124,4164
5041,1379,4164
5041,414,4164
5041,4,4164
5043,273,6908
5043,3126,6908
5043,950,6908
5043,0,6908
5045,1332,54428
5045,27934,54428
5045,5072,54428
5045,83,54428
5047,208,7129
5047,4101,7129
5047,1355,7129
5047,13,7129
5049,157,5119
5049,2493,5119
5049,1294,5119
5049,17,5119
5051,1880,44199
5051,22991,44199
5051,4080,44199
5051,118,44199
5053,248,8200
5053,4674,8200
5053,1869,8200
5053,3,8200
5055,436,16100
5055,9917,16100
5055,2298,16100
5055,19,16100
5057,324,6848
5057,2514,6848
5057,1632,6848
5057,0,6848
5059,385,12557
5059,7204,12557
5059,1589,12557
5059,24,12557
5061,175,4834
5061,2393,4834
5061,799,4834
5061,0,4834
5063,445,14512
5063,7943,14512
5063,2862,14512
5063,0,14512
5065,226,5810
5065,2985,5810
5065,1404,5810
5065,16,5810
5067,108,5091
5067,2249,5091
5067,1228,5091
5067,8,5091
5069,491,25158
5069,4482,25158
5069,4527,25158
5069,21,25158
5071,371,9498
5071,4148,9498
5071,2348,9498
5071,71,9498
5073,157,2679
5073,1197,2679
5073,379,2679
5073,24,2679
5075,188,5857
5075,2844,5857
5075,1537,5857
5075,0,5857
5077,72,2848
5077,802,2848
5077,412,2848
5077,0,2848
5079,124,3875
5079,1504,3875
5079,1097,3875
5079,4,3875
5081,136,5177
5081,2778,5177
5081,800,5177
5081,1,5177
5083,223,8225
5083,4229,8225
5083,1986,8225
5083,3,8225
5085,907,30662
5085,18811,30662
5085,3151,30662
5085,15,30662
5087,289,7351
5087,2923,7351
5087,2446,7351
5087,0,7351
5089,376,7503
5089,3623,7503
5089,1730,7503
5089,54,7503
5091,338,16529
5091,8789,16529
5091,2792,16529
5091,1,16529
5093,231,12342
5093,5042,12342
5093,2008,12342
5093,15,12342
5095,91,2816
5095,917,2816
5095,536,2816
5095,1,2816
5097,173,3873
5097,1935,3873
5097,938,3873
5097,0,3873
5099,145,3358
5099,1130,3358
5099,858,3358
5099,0,3358
5101,144,3998
5101,1396,3998
5101,1608,3998
5101,44,3998
5103,399,9629
5103,3686,9629
5103,990,9629
5103,219,9629
5105,84,4627
5105,2337,4627
5105,1047,4627
5105,11,4627
5107,80,6242
5107,1228,6242
5107,1085,6242
5107,24,6242
5109,142,4246
5109,2511,4246
5109,861,4246
5109,5,4246
5111,149,7521
