"","county_fips","total_candidatevotes","totalvotes","Vote_Trump_county"
"1",1001,19838,27770,0.714368023046453
"2",1003,83544,109679,0.761713728243328
"3",1005,5622,10518,0.534512264689104
"4",1007,7525,9595,0.784262636789995
"5",1009,24711,27588,0.895715528490648
"6",1011,1146,4613,0.248428354649902
"7",1013,5458,9488,0.575252951096121
"8",1015,35101,50983,0.688484396759704
"9",1017,8753,15284,0.572690395184507
"10",1019,10583,12301,0.860336558003414
"11",1021,16085,19310,0.832988089073019
"12",1023,4296,7464,0.57556270096463
"13",1025,7324,13135,0.557594213932242
"14",1027,5601,6930,0.808225108225108
"15",1029,6484,7227,0.897191088971911
"16",1031,16899,22275,0.758653198653199
"17",1033,19203,27886,0.688625116545937
"18",1035,3442,6441,0.534389070020183
"19",1037,3631,5479,0.662712173754335
"20",1039,14586,17430,0.836833046471601
"21",1041,4864,6617,0.735076318573372
"22",1043,36880,41851,0.881221476189338
"23",1045,14303,19738,0.724642820954504
"24",1047,5524,17864,0.30922525750112
"25",1049,24767,29356,0.843677612753781
"26",1051,30164,41030,0.735169388252498
"27",1053,10869,15910,0.683155248271527
"28",1055,35528,47728,0.744384847468991
"29",1057,7300,8766,0.832762947752681
"30",1059,10376,12578,0.824932421688663
"31",1061,10848,12545,0.864726982861698
"32",1063,875,4775,0.183246073298429
"33",1065,3192,7900,0.404050632911392
"34",1067,6607,9298,0.710582921058292
"35",1069,32618,46173,0.706430164814935
"36",1071,19670,23636,0.832205110847859
"37",1073,138843,325848,0.426097444207115
"38",1075,6174,7193,0.858334491867093
"39",1077,31721,44339,0.71541983355511
"40",1079,12322,16031,0.768635768199114
"41",1081,42221,71449,0.590924995451301
"42",1083,34640,49235,0.703564537422565
"43",1085,1836,6835,0.26861741038771
"44",1087,1541,8723,0.176659406167603
"45",1089,102780,194767,0.527707465843803
"46",1091,5343,10900,0.490183486238532
"47",1093,12205,13807,0.88397189831245
"48",1095,33191,39655,0.836994073887278
"49",1097,101243,183164,0.552745080911096
"50",1099,6147,10668,0.576209223847019
"51",1101,33311,99139,0.336002985706937
"52",1103,39664,53722,0.738319496668032
"53",1105,1339,5230,0.256022944550669
"54",1107,5594,9668,0.578609846917666
"55",1109,8042,13841,0.581027382414565
"56",1111,8559,10837,0.789794223493587
"57",1113,9864,21329,0.462468939003235
"58",1115,36166,44441,0.813798069350375
"59",1117,79700,114950,0.693344932579382
"60",1119,1598,6291,0.254013670322683
"61",1121,22235,35663,0.623475310545944
"62",1123,14963,20991,0.71282930779858
"63",1125,51117,90172,0.566883289712993
"64",1127,26002,31170,0.834199550850176
"65",1129,6564,8876,0.739522307345651
"66",1131,1833,5903,0.31052007453837
"67",1133,10195,11284,0.903491669620702
"68",2001,3511,7314,0.48003828274542
"69",2002,3674,6136,0.598761408083442
"70",2003,6076,8385,0.724627310673822
"71",2004,4690,10511,0.446199219864903
"72",2005,4077,8654,0.471111624682228
"73",2006,5770,9460,0.609936575052854
"74",2007,7027,9622,0.73030554978175
"75",2008,7618,9912,0.768563357546408
"76",2009,7787,10993,0.708359865368871
"77",2010,8081,11205,0.72119589468987
"78",2011,7096,10628,0.6676703048551
"79",2012,7893,11238,0.702349172450614
"80",2013,4652,7713,0.603137559963698
"81",2014,6714,11443,0.586734248011885
"82",2015,2671,5559,0.48048210109732
"83",2016,3516,8118,0.433111603843311
"84",2017,2810,7239,0.388175162315237
"85",2018,2760,7720,0.357512953367876
"86",2019,1975,5301,0.372571212978683
"87",2020,2383,7497,0.317860477524343
"88",2021,3690,9429,0.391345847916004
"89",2022,4684,9520,0.492016806722689
"90",2023,3655,7739,0.472283240728776
"91",2024,5378,10428,0.515726889144611
"92",2025,4407,9325,0.47260053619303
"93",2026,5243,10111,0.518544159825932
"94",2027,4324,9506,0.454870608037029
"95",2028,6162,12749,0.483332026041258
"96",2029,7464,10747,0.694519400763004
"97",2030,7180,10176,0.705581761006289
"98",2031,6971,12410,0.561724415793715
"99",2032,4440,8335,0.532693461307738
"100",2033,3059,10955,0.279233226837061
"101",2034,4543,10729,0.423431820300121
"102",2035,4769,10102,0.472084735695902
"103",2036,5114,9292,0.550365906155833
"104",2037,2358,5142,0.458576429404901
"105",2038,1737,5299,0.327797697678807
"106",2039,1939,5891,0.329146155151927
"107",2040,1994,4603,0.433195741907452
"108",2099,59,433,0.136258660508083
"109",4001,11442,35172,0.325315591948141
"110",4003,35557,60442,0.588282982032362
"111",4005,27052,73272,0.36919969428977
"112",4007,18377,27662,0.664340973176198
"113",4009,10749,14995,0.716838946315438
"114",4011,2433,3685,0.660244233378562
"115",4012,5129,7458,0.687717886832931
"116",4013,995665,2068144,0.481429242838023
"117",4015,78535,104668,0.750324836626285
"118",4017,27657,51767,0.534259277145672
"119",4019,207758,520397,0.399229818772975
"120",4021,107077,184974,0.578875950133532
"121",4023,6194,19556,0.316731437921865
"122",4025,91527,143221,0.639061310841287
"123",4027,36534,69881,0.522803050900817
"124",5001,4304,6292,0.684043229497775
"125",5003,5548,7926,0.699974766590966
"126",5005,15836,21007,0.753843956776313
"127",5007,73965,119912,0.61682734004937
"128",5009,13652,17114,0.797709477620661
"129",5011,2335,3654,0.639025725232622
"130",5013,1636,2182,0.749770852428964
"131",5015,7424,11797,0.6293125370857
"132",5017,1752,4103,0.427004630757982
"133",5019,4616,8395,0.549851101846337
"134",5021,4086,5183,0.78834651746093
"135",5023,10328,12680,0.814511041009464
"136",5025,2867,3600,0.796388888888889
"137",5027,5500,8616,0.638347260909935
"138",5029,5694,8685,0.655613126079447
"139",5031,25558,38511,0.663654540261224
"140",5033,18607,24091,0.772363123158026
"141",5035,7333,16367,0.448035681554347
"142",5037,4946,6942,0.712474791126476
"143",5039,1573,2649,0.593808984522461
"144",5041,1921,4164,0.46133525456292
"145",5043,4349,6908,0.629559930515345
"146",5045,34421,54428,0.632413463658411
"147",5047,5677,7129,0.796324870248282
"148",5049,3961,5119,0.773783942176206
"149",5051,29069,44199,0.657684562999163
"150",5053,6794,8200,0.828536585365854
"151",5055,12670,16100,0.78695652173913
"152",5057,4470,6848,0.652745327102804
"153",5059,9202,12557,0.732818348331608
"154",5061,3367,4834,0.696524617294166
"155",5063,11250,14512,0.775220507166483
"156",5065,4631,5810,0.797074010327022
"157",5067,3593,5091,0.705755254370458
"158",5069,9521,25158,0.378448207329676
"159",5071,6938,9498,0.730469572541588
"160",5073,1757,2679,0.655841731989548
"161",5075,4569,5857,0.780092197370668
"162",5077,1286,2848,0.451544943820225
"163",5079,2729,3875,0.704258064516129
"164",5081,3715,5177,0.717597063936643
"165",5083,6441,8225,0.783100303951368
"166",5085,22884,30662,0.746330963407475
"167",5087,5658,7351,0.769691198476398
"168",5089,5783,7503,0.770758363321338
"169",5091,11920,16529,0.721156754794603
"170",5093,7296,12342,0.591152163344677
"171",5095,1545,2816,0.548650568181818
"172",5097,3046,3873,0.786470436354247
"173",5099,2133,3358,0.635199523525908
"174",5101,3192,3998,0.7983991995998
"175",5103,5294,9629,0.54979748675875
"176",5105,3479,4627,0.751891074130106
"177",5107,2417,6242,0.387215636014098
"178",5109,3519,4246,0.828780028261894
"179",5111,5918,7521,0.78686344900944
"180",5113,7035,8490,0.828621908127208
"181",5115,18081,24432,0.740054027504912
"182",5117,2786,3495,0.797138769670959
"183",5119,63687,169956,0.374726399774059
"184",5121,5355,6812,0.786112742219612
"185",5123,3242,7108,0.456105796285875
"186",5125,39556,56959,0.694464439333556
"187",5127,2962,3551,0.834131230639257
"188",5129,3365,4019,0.837272953471013
"189",5131,31198,47140,0.661815867628341
"190",5133,3884,5202,0.746635909265667
"191",5135,5938,7566,0.784826856991805
"192",5137,4616,5938,0.777366116537555
"193",5139,10478,16607,0.630938760763534
"194",5141,6034,7807,0.772896118867683
"195",5143,47504,94266,0.503935671397959
"196",5145,24182,30885,0.782969078840861
"197",5147,1543,2476,0.623182552504039
"198",5149,5226,6741,0.775255896751224
"199",6001,136309,770070,0.177008583635254
"200",6003,244,741,0.329284750337382
"201",6005,13585,22304,0.609083572453372
"202",6007,48730,102066,0.477436168753552
"203",6009,16518,27164,0.608084229126786
"204",6011,4559,7961,0.57266675040824
"205",6013,152877,581316,0.262984332101645
"206",6015,6461,11453,0.564131668558456
"207",6017,61838,116159,0.532356511333603
"208",6019,164464,364917,0.45068878676521
"209",6021,7063,11297,0.62521023280517
"210",6023,21770,68843,0.316226776869108
"211",6025,20847,56743,0.367393334860688
"212",6027,4620,9484,0.487136229439055
"213",6029,164484,305292,0.538775991509768
"214",6031,24072,43861,0.548824696199357
"215",6033,13123,28812,0.455469943079273
"216",6035,8970,11987,0.748310669892383
"217",6037,1145530,4264365,0.268628506237154
"218",6039,29378,53732,0.546750539715626
"219",6041,24612,155830,0.157941346338959
"220",6043,5950,10280,0.578793774319066
"221",6045,13267,43340,0.306114443931703
"222",6047,39397,90554,0.435066369238245
"223",6049,3109,4343,0.715864609716786
"224",6051,2513,6738,0.372959335114277
"225",6053,46299,163923,0.282443586317966
"226",6055,20676,72150,0.286569646569647
"227",6057,26779,64750,0.41357528957529
"228",6059,676498,1522113,0.444446634382598
"229",6061,122488,235084,0.521039288084259
"230",6063,6445,11260,0.572380106571936
"231",6065,449144,997156,0.450425008724813
"232",6067,259405,718440,0.361067034129503
"233",6069,10590,28830,0.36732570239334
"234",6071,366257,841130,0.435434475051419
"235",6073,600094,1602143,0.37455707761417
"236",6075,56417,443553,0.127193368098063
"237",6077,121098,288492,0.419762073125078
"238",6079,67436,159714,0.422229735652479
"239",6081,75584,374251,0.201960716203831
"240",6083,65736,200339,0.328123830107967
"241",6085,214612,850741,0.252264790341596
"242",6087,26937,144837,0.1859814826322
"243",6089,60789,92930,0.654137522866674
"244",6091,1142,1931,0.591403417918177
"245",6093,13290,23472,0.56620654396728
"246",6095,69306,205877,0.336637895442424
"247",6097,61825,268317,0.230417752136465
"248",6099,104145,214954,0.484499009090317
"249",6101,24375,42644,0.571592721133102
"250",6103,19141,28731,0.666214193728029
"251",6105,3188,6259,0.509346540980987
"252",6107,77579,146885,0.528161486877489
"253",6109,17689,30408,0.581721915285451
"254",6111,162207,422825,0.383626795955774
"255",6113,27292,97294,0.280510617304253
"256",6115,17676,29796,0.59323399113975
"257",8001,95657,236740,0.404059305567289
"258",8003,3813,7808,0.488345286885246
"259",8005,127323,350183,0.363589894426628
"260",8007,5189,9144,0.567475940507437
"261",8009,1867,2225,0.839101123595506
"262",8011,1503,2274,0.660949868073879
"263",8013,42501,206111,0.206204423829878
"264",8014,16295,46632,0.3494381540573
"265",8015,6222,13718,0.453564659571366
"266",8017,993,1136,0.874119718309859
"267",8019,2754,6548,0.420586438607208
"268",8021,2286,4333,0.527579044541888
"269",8023,741,2094,0.353868194842407
"270",8025,1271,1750,0.726285714285714
"271",8027,2474,3635,0.68060522696011
"272",8029,13081,19370,0.675322663913268
"273",8031,71618,393829,0.181850498566637
"274",8033,1089,1449,0.751552795031056
"275",8035,121270,231605,0.523607003303037
"276",8037,9892,29140,0.339464653397392
"277",8039,14027,18983,0.738924300690091
"278",8041,202828,378851,0.535376704825908
"279",8043,17517,25557,0.685409085573424
"280",8045,14717,30904,0.476216670981103
"281",8047,1833,4186,0.437888198757764
"282",8049,4883,9870,0.494731509625127
"283",8051,3735,11190,0.333780160857909
"284",8053,353,632,0.558544303797468
"285",8055,2203,4406,0.5
"286",8057,681,876,0.777397260273973
"287",8059,148417,377358,0.39330556129723
"288",8061,795,903,0.880398671096346
"289",8063,3144,3871,0.812193231723069
"290",8065,1497,3961,0.377934864933098
"291",8067,14233,35667,0.399052345305184
"292",8069,91489,224338,0.407817667983133
"293",8071,4284,7961,0.538123351337772
"294",8073,2135,2651,0.805356469256884
"295",8075,8087,10532,0.767850360805165
"296",8077,56894,90623,0.627809717179965
"297",8079,427,756,0.564814814814815
"298",8081,5670,7026,0.807002561912895
"299",8083,9306,15500,0.600387096774194
"300",8085,16770,24922,0.67289944627237
"301",8087,9593,13744,0.697977299185099
"302",8089,5756,9576,0.60108604845447
"303",8091,1577,4020,0.39228855721393
"304",8093,6991,12291,0.568790171670328
"305",8095,1958,2485,0.787927565392354
"306",8097,2780,11957,0.232499790917454
"307",8099,4008,5561,0.720733680992627
"308",8101,42252,88301,0.478499677240348
"309",8103,3061,3691,0.829314548902736
"310",8105,3660,6305,0.580491673275178
"311",8107,5925,16876,0.351090305759659
"312",8109,1413,3389,0.416937149601652
"313",8111,202,562,0.359430604982206
"314",8113,1136,5147,0.220711093841072
"315",8115,1121,1446,0.775242047026279
"316",8117,5322,18479,0.288002597543157
"317",8119,11241,16939,0.663616506287266
"318",8121,2595,3008,0.862699468085106
"319",8123,96145,166974,0.575808209661384
"320",8125,4107,4981,0.824533226259787
"321",9001,168445,472396,0.356575838914809
"322",9003,159024,449336,0.353908878879057
"323",9005,55601,107544,0.517006992486796
"324",9007,40665,99198,0.409937700356862
"325",9009,169893,417983,0.406459114365895
"326",9011,57110,139604,0.409085699550156
"327",9013,34838,80714,0.431622766806254
"328",9015,29141,57082,0.51051119442206
"329",10001,41009,87025,0.471232404481471
"330",10003,88364,287633,0.307210925032941
"331",10005,71230,129352,0.550667944832705
"332",11001,18586,344356,0.053973213767148
"333",12001,50972,142604,0.357437379035651
"334",12003,11911,14059,0.847215306920834
"335",12005,66097,93024,0.710537065703474
"336",12007,10334,13632,0.758069248826291
"337",12009,207883,360764,0.576229889900323
"338",12011,333409,957672,0.348145294004628
"339",12013,5274,6526,0.808152007355195
"340",12015,73243,116340,0.629559910606842
"341",12017,65352,93208,0.70114153291563
"342",12019,84480,124405,0.67907238455046
"343",12021,128950,207818,0.62049485607599
"344",12023,23836,33042,0.721384904061497
"345",12027,8313,12659,0.656686942096532
"346",12029,6759,8167,0.827598873515367
"347",12031,233762,492820,0.474335457164888
"348",12033,96674,170372,0.567428920245111
"349",12035,43043,71716,0.600186848123152
"350",12037,4675,6849,0.682581398744342
"351",12039,7465,23762,0.314157057486744
"352",12041,7895,9685,0.815178110480124
"353",12043,3782,5193,0.728288080107838
"354",12045,6113,8163,0.748866838172241
"355",12047,3815,5830,0.654373927958834
"356",12049,6122,8485,0.721508544490277
"357",12051,7906,12940,0.61097372488408
"358",12053,70412,108922,0.646444244505242
"359",12055,34873,52170,0.668449300364194
"360",12057,327398,712063,0.459787968199443
"361",12059,8080,9068,0.891045434494927
"362",12061,58872,97484,0.603914488531451
"363",12063,15488,22419,0.690842588875507
"364",12065,4479,8451,0.529996450124246
"365",12067,3128,3658,0.855112083105522
"366",12069,125859,211314,0.595601805843437
"367",12071,233247,393899,0.592149256535305
"368",12073,57453,162929,0.352625990462103
"369",12075,16749,23145,0.723655217109527
"370",12077,2846,3561,0.799213704015726
"371",12079,5576,9380,0.594456289978678
"372",12081,124987,216958,0.57608845951751
"373",12083,127826,204376,0.625445257760207
"374",12085,61168,98726,0.619573364665843
"375",12086,532833,1156816,0.460603069113844
"376",12087,25693,48029,0.534947635803369
"377",12089,42566,58811,0.723776164323001
"378",12091,79798,116373,0.685708884363211
"379",12093,11470,15954,0.718941958129623
"380",12095,245398,647403,0.37904983449258
"381",12097,73480,172436,0.426129114570043
"382",12099,334711,773158,0.432914100352063
"383",12101,179621,301970,0.594830612312481
"384",12103,276209,559715,0.493481503979704
"385",12105,194586,343256,0.566883026079661
"386",12107,25514,36373,0.701454375498309
"387",12109,110946,176622,0.628155042973129
"388",12111,86831,172169,0.504335856048418
"389",12113,77385,106928,0.723711282358222
"390",12115,148370,270575,0.548350734546799
"391",12117,125241,260815,0.48019093993827
"392",12119,62761,92485,0.678607341731091
"393",12121,16410,21057,0.779313292491808
"394",12123,7751,10127,0.765379678088279
"395",12125,5133,6245,0.821937550040032
"396",12127,173821,307439,0.565383702132781
"397",12129,12874,18404,0.699521843077592
"398",12131,32947,43711,0.753746196609549
"399",12133,9876,12327,0.801168167437333
"400",13001,6526,8341,0.782400191823522
"401",13003,2300,3155,0.729001584786054
"402",13005,4018,4668,0.860754070265638
"403",13007,897,1555,0.576848874598071
"404",13009,8903,18251,0.487808887184264
"405",13011,7795,8801,0.885694807408249
"406",13013,26804,37921,0.706837899844413
"407",13015,37674,50467,0.746507618840034
"408",13017,4110,6560,0.626524390243902
"409",13019,6419,7743,0.829006844892161
"410",13021,26585,70802,0.375483743397079
"411",13023,4328,5706,0.758499824745882
"412",13025,6991,7746,0.902530338239091
"413",13027,4260,7100,0.6
"414",13029,14244,21340,0.667478912839738
"415",13031,18386,30084,0.611155431458583
"416",13033,5400,10684,0.505428678397604
"417",13035,8406,11771,0.71412794155127
"418",13037,923,2194,0.420692798541477
"419",13039,15251,23688,0.643828098615333
"420",13043,3133,4431,0.707063868201309
"421",13045,37476,54474,0.687961229210265
"422",13047,25167,32593,0.772159666185991
"423",13049,3419,4566,0.748795444590451
"424",13051,53237,133420,0.399018138210163
"425",13053,880,1582,0.556257901390645
"426",13055,8064,10050,0.802388059701493
"427",13057,99587,144830,0.687613063591797
"428",13059,14446,51333,0.281417411801375
