"","county_fips","state","county","county_collectivism_score","avg_county_collectivism_score"
"1",1001,"Alabama","Autauga",37.3988181533741,65.6897515962171
"2",1003,"Alabama","Baldwin",35.545039716806,65.6897515962171
"3",1005,"Alabama","Barbour",36.0186542801033,65.6897515962171
"4",1007,"Alabama","Bibb",39.6417309133479,65.6897515962171
"5",1009,"Alabama","Blount",41.3719167059408,65.6897515962171
"6",1011,"Alabama","Bullock",38.1351061592806,65.6897515962171
"7",1013,"Alabama","Butler",38.464010714213,65.6897515962171
"8",1015,"Alabama","Calhoun",38.8645146131444,65.6897515962171
"9",1017,"Alabama","Chambers",41.629492846317,65.6897515962171
"10",1019,"Alabama","Cherokee",36.0460372716692,65.6897515962171
"11",1021,"Alabama","Chilton",43.1890764857206,65.6897515962171
"12",1023,"Alabama","Choctaw",39.5679581573677,65.6897515962171
"13",1025,"Alabama","Clarke",39.7475423572329,65.6897515962171
"14",1027,"Alabama","Clay",40.2415422172162,65.6897515962171
"15",1029,"Alabama","Cleburne",41.3566634655236,65.6897515962171
"16",1031,"Alabama","Coffee",37.2436216901642,65.6897515962171
"17",1033,"Alabama","Colbert",35.7422782784293,65.6897515962171
"18",1035,"Alabama","Conecuh",31.19512466482,65.6897515962171
"19",1037,"Alabama","Coosa",38.1844400185211,65.6897515962171
"20",1039,"Alabama","Covington",37.2751176258725,65.6897515962171
"21",1041,"Alabama","Crenshaw",39.440129487231,65.6897515962171
"22",1043,"Alabama","Cullman",40.323423766227,65.6897515962171
"23",1045,"Alabama","Dale",34.0943405705486,65.6897515962171
"24",1047,"Alabama","Dallas",32.0685679109679,65.6897515962171
"25",1049,"Alabama","De Kalb",41.8263010600553,65.6897515962171
"26",1051,"Alabama","Elmore",39.1976123040055,65.6897515962171
"27",1053,"Alabama","Escambia",33.3188657484722,65.6897515962171
"28",1055,"Alabama","Etowah",37.4532807323288,65.6897515962171
"29",1057,"Alabama","Fayette",38.0065065468572,65.6897515962171
"30",1059,"Alabama","Franklin",38.7510155337514,65.6897515962171
"31",1061,"Alabama","Geneva",36.4012779857894,65.6897515962171
"32",1063,"Alabama","Greene",25.2348843064298,65.6897515962171
"33",1065,"Alabama","Hale",33.2662971108883,65.6897515962171
"34",1067,"Alabama","Henry",34.8040690130981,65.6897515962171
"35",1069,"Alabama","Houston",38.6723092216865,65.6897515962171
"36",1071,"Alabama","Jackson",37.5831449419129,65.6897515962171
"37",1073,"Alabama","Jefferson",38.4326508337199,65.6897515962171
"38",1075,"Alabama","Lamar",39.1900685857574,65.6897515962171
"39",1077,"Alabama","Lauderdale",39.0799100888459,65.6897515962171
"40",1079,"Alabama","Lawrence",37.4848135162368,65.6897515962171
"41",1081,"Alabama","Lee",37.4530239920782,65.6897515962171
"42",1083,"Alabama","Limestone",37.3809370535474,65.6897515962171
"43",1085,"Alabama","Lowndes",32.3402344097748,65.6897515962171
"44",1087,"Alabama","Macon",36.931686657973,65.6897515962171
"45",1089,"Alabama","Madison",35.5304862584648,65.6897515962171
"46",1091,"Alabama","Marengo",36.0489828643363,65.6897515962171
"47",1093,"Alabama","Marion",34.3036609712656,65.6897515962171
"48",1095,"Alabama","Marshall",39.8089469550354,65.6897515962171
"49",1097,"Alabama","Mobile",38.425607396039,65.6897515962171
"50",1099,"Alabama","Monroe",34.2002343210344,65.6897515962171
"51",1101,"Alabama","Montgomery",37.6924178074821,65.6897515962171
"52",1103,"Alabama","Morgan",37.8373562798053,65.6897515962171
"53",1105,"Alabama","Perry",32.8957189605607,65.6897515962171
"54",1107,"Alabama","Pickens",35.8910150267712,65.6897515962171
"55",1109,"Alabama","Pike",32.7898509334396,65.6897515962171
"56",1111,"Alabama","Randolph",36.4066473655636,65.6897515962171
"57",1113,"Alabama","Russell",36.7886837078426,65.6897515962171
"58",1115,"Alabama","St Clair",41.273013539114,65.6897515962171
"59",1117,"Alabama","Shelby",39.0106447567792,65.6897515962171
"60",1119,"Alabama","Sumter",36.4443480345299,65.6897515962171
"61",1121,"Alabama","Talladega",40.9950095148647,65.6897515962171
"62",1123,"Alabama","Tallapoosa",38.7153636067244,65.6897515962171
"63",1125,"Alabama","Tuscaloosa",39.6825229289444,65.6897515962171
"64",1127,"Alabama","Walker",39.7763579031192,65.6897515962171
"65",1129,"Alabama","Washington",42.7665646153417,65.6897515962171
"66",1131,"Alabama","Wilcox",39.1785066385588,65.6897515962171
"67",1133,"Alabama","Winston",42.5951772284757,65.6897515962171
"68",2013,"Alaska","Aleutians East Borough",36.4880643363932,68.8474476096653
"69",2016,"Alaska","Aleutians West Census Area",39.3232222818508,68.8474476096653
"70",2020,"Alaska","Anchorage Municipality",38.3816410038912,68.8474476096653
"71",4001,"Arizona","Apache",39.4366753808991,61.1875472526387
"72",4003,"Arizona","Cochise",28.848893319269,61.1875472526387
"73",4005,"Arizona","Coconino",39.7506371299362,61.1875472526387
"74",4007,"Arizona","Gila",30.7007223074595,61.1875472526387
"75",4009,"Arizona","Graham",42.6874297046053,61.1875472526387
"76",4011,"Arizona","Greenlee",38.2108403685164,61.1875472526387
"77",4012,"Arizona","La Paz",29.7357364749025,61.1875472526387
"78",4013,"Arizona","Maricopa",38.9134319121693,61.1875472526387
"79",4015,"Arizona","Mohave",29.8306441314955,61.1875472526387
"80",4017,"Arizona","Navajo",42.4003483359723,61.1875472526387
"81",4019,"Arizona","Pima",33.4290139323584,61.1875472526387
"82",4021,"Arizona","Pinal",40.9565484073266,61.1875472526387
"83",4023,"Arizona","Santa Cruz",47.0979233645196,61.1875472526387
"84",4025,"Arizona","Yavapai",27.2982493383963,61.1875472526387
"85",4027,"Arizona","Yuma",42.3023925248477,61.1875472526387
"86",5001,"Arkansas","Arkansas",36.871147548457,65.7648328038968
"87",5003,"Arkansas","Ashley",37.6746962484689,65.7648328038968
"88",5005,"Arkansas","Baxter",30.4355320466659,65.7648328038968
"89",5007,"Arkansas","Benton",40.7628682215722,65.7648328038968
"90",5009,"Arkansas","Boone",39.6685673389888,65.7648328038968
"91",5011,"Arkansas","Bradley",37.6801817965405,65.7648328038968
"92",5013,"Arkansas","Calhoun",41.9906595437039,65.7648328038968
"93",5015,"Arkansas","Carroll",36.0774798318298,65.7648328038968
"94",5017,"Arkansas","Chicot",31.1573049128995,65.7648328038968
"95",5019,"Arkansas","Clark",41.7541820010832,65.7648328038968
"96",5021,"Arkansas","Clay",32.6748219553073,65.7648328038968
"97",5023,"Arkansas","Cleburne",35.6996266201055,65.7648328038968
"98",5025,"Arkansas","Cleveland",35.2487909940873,65.7648328038968
