year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,
2020,ALABAMA,AL,AUTAUGA,1001,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,350,27770,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,BALDWIN,1003,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1229,109679,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,BARBOUR,1005,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,68,10518,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,BIBB,1007,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,74,9595,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,BLOUNT,1009,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,209,27588,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,BULLOCK,1011,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,19,4613,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,BUTLER,1013,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,59,9488,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CALHOUN,1015,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,553,50983,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CHAMBERS,1017,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,141,15284,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CHEROKEE,1019,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,82,12301,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CHILTON,1021,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,123,19310,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CHOCTAW,1023,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,38,7464,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CLARKE,1025,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,49,13135,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CLAY,1027,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,53,6930,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CLEBURNE,1029,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,60,7227,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,COFFEE,1031,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,264,22275,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,COLBERT,1033,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,271,27886,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CONECUH,1035,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,32,6441,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,COOSA,1037,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,46,5479,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,COVINGTON,1039,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,97,17430,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CRENSHAW,1041,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,44,6617,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,CULLMAN,1043,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,418,41851,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,DALE,1045,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,233,19738,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,DALLAS,1047,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,90,17864,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,DEKALB,1049,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,250,29356,20220315,TOTAL,added by Erin Wang
2020,ALABAMA,AL,ELMORE,1051,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,398,41030,20220315,TOTAL,added by Erin Wang
