state,county_fips,precinct,candidate,votes
Georgia,13001,1B,Donald Trump,685
Georgia,13001,1B,Hillary Clinton,92
Georgia,13001,1B,Others,9
Georgia,13001,1C,Donald Trump,496
Georgia,13001,1C,Hillary Clinton,42
Georgia,13001,1C,Others,5
Georgia,13001,2,Donald Trump,427
Georgia,13001,2,Hillary Clinton,742
Georgia,13001,2,Others,10
Georgia,13001,3A,Donald Trump,209
Georgia,13001,3A,Hillary Clinton,4
Georgia,13001,3A,Others,4
Georgia,13001,3A1,Donald Trump,319
Georgia,13001,3A1,Hillary Clinton,17
Georgia,13001,3A1,Others,1
Georgia,13001,3B,Donald Trump,101
Georgia,13001,3B,Hillary Clinton,98
Georgia,13001,3B,Others,1
Georgia,13001,3C,Donald Trump,670
Georgia,13001,3C,Hillary Clinton,154
Georgia,13001,3C,Others,14
Georgia,13001,4A,Donald Trump,261
Georgia,13001,4A,Hillary Clinton,14
Georgia,13001,4A,Others,1
Georgia,13001,4B,Donald Trump,305
Georgia,13001,4B,Hillary Clinton,7
Georgia,13001,4B,Others,0
Georgia,13001,4C,Donald Trump,284
Georgia,13001,4C,Hillary Clinton,10
Georgia,13001,4C,Others,2
Georgia,13001,4D,Donald Trump,624
Georgia,13001,4D,Hillary Clinton,83
Georgia,13001,4D,Others,10
Georgia,13001,5A,Donald Trump,530
Georgia,13001,5A,Hillary Clinton,68
Georgia,13001,5A,Others,12
Georgia,13001,5B,Donald Trump,336
Georgia,13001,5B,Hillary Clinton,79
Georgia,13001,5B,Others,3
Georgia,13001,5C,Donald Trump,247
Georgia,13001,5C,Hillary Clinton,24
Georgia,13001,5C,Others,5
Georgia,13001,Write-ins,Others,7
Georgia,13003,Axson,Donald Trump,375
Georgia,13003,Axson,Hillary Clinton,29
Georgia,13003,Axson,Others,4
Georgia,13003,Pearson City,Donald Trump,164
Georgia,13003,Pearson City,Hillary Clinton,275
Georgia,13003,Pearson City,Others,9
Georgia,13003,Pearson County,Donald Trump,850
Georgia,13003,Pearson County,Hillary Clinton,136
Georgia,13003,Pearson County,Others,6
Georgia,13003,Willacoochee,Donald Trump,489
Georgia,13003,Willacoochee,Hillary Clinton,257
Georgia,13003,Willacoochee,Others,16
Georgia,13005,Douglas,Donald Trump,1578
Georgia,13005,Douglas,Hillary Clinton,477
Georgia,13005,Douglas,Others,27
