"","county.fips","state","county","people.living.alone","elder.living.alone","family.with.grandchild","marry.divorce.ratio","non.religious.ratio","self.employed.rate","voting.for.libertarian","people.living.alone_zscore","elder.living.alone_zscore","family.with.grandchild_zscore","marry.divorce.ratio_zscore","non.religious.ratio_zscore","self.employed.rate_zscore","voting.for.libertarian_zscore","score"
"1",1001,"Alabama","Autauga",0.260752196,0.280260856,0.048773792,3.76119403,0.485604966,0.068964211,0.014756757,-0.559323833631712,0.0345539608272748,-0.200338739016095,-0.378642840901824,-0.0932804267429728,-0.921029051752315,-1.14584998966228,2.86323344284773
"2",1003,"Alabama","Baldwin",0.291432504,0.225458181,0.063688496,4.443548387,0.463465463,0.102087053,0.016770461,0.0307009648087089,-1.10545173385184,0.259124332510608,-0.0247541253105417,-0.208935688576503,0.0403974900169623,-0.996658606629295,2.52382603205312
"3",1005,"Alabama","Barbour",0.329775528,0.301324503,0.081095951,2.5625,0.312928676,0.093521527,0.005632267,0.768090400638239,0.472720118422879,0.795379208354129,-1.00032025280943,-0.995329652165633,-0.20822622532168,-1.82186557217621,3.58031039176596
"4",1007,"Alabama","Bibb",0.27107158,0.300696864,0.131723846,3.268656716,0.511640425,NA,0.008927929,-0.360867792557115,0.459663966798844,2.35502451821958,-0.634086945045267,0.0427270449514525,NA,-1.5776964332217,NA
"5",1009,"Alabama","Blount",0.255492958,0.26651315,0.079201878,4.919642857,0.426810295,0.114442798,0.008688254,-0.660466261566275,-0.251425932102665,0.737030306607518,0.222162244109537,-0.400419799696435,0.399036437313002,-1.59545348427212,3.02359710282247
"6",1011,"Alabama","Bullock",0.377595788,0.296475466,0.096226967,3.382978723,0.527469344,NA,0.002783753,1.68774020558376,0.371850410991449,1.26150599750661,-0.574796243951308,0.125416244048955,NA,-2.03290639210248,NA
"7",1013,"Alabama","Butler",0.308069208,0.293538105,0.070280202,3.276923077,0.388745998,0.038737641,0.004845322,0.350647815548048,0.31074740338592,0.46218873696416,-0.629799771017735,-0.599265105123764,-1.79838814626018,-1.88016878502224,4.7084153254541
"8",1015,"Alabama","Calhoun",0.314617903,0.296479419,0.083327689,3.0625,0.281601841,0.07166932,0.015196492,0.476588286791778,0.37193264132986,0.864130233940883,-0.741005783750296,-1.15897891314231,-0.842510318638202,-1.11327088527653,3.87137520662657
"9",1017,"Alabama","Chambers",0.262135183,0.301690736,0.114836547,3.578512397,0.442626251,0.061148397,0.007552598,-0.53272707893418,0.480338500291637,1.8347935925284,-0.473386822238325,-0.317798318431584,-1.14789156026327,-1.67959201172685,5.50585088383098
"10",1019,"Alabama","Cherokee",0.297977714,0.256168204,0.070367313,4.082089552,0.497376957,0.054584049,0.009812429,0.156574414677603,-0.466621583613251,0.464872282519188,-0.212217137080057,-0.0317843443147916,-1.33842890595993,-1.51216556160766,3.86951540041728
"11",1021,"Alabama","Chilton",0.247856539,0.281308253,0.054643159,3.48951049,0.263318079,0.075352184,0.008745349,-0.807325171238291,0.0563419218089208,-0.0195267437034509,-0.519545786756236,-1.25449204554695,-0.735611182406879,-1.59122342761321,4.83232894804919
"12",1023,"Alabama","Choctaw",0.354826329,0.312300319,0.094799463,3.637795276,0.385155942,NA,0.00461402,1.24985198565219,0.701039132845991,1.21753024227495,-0.442641005653961,-0.618019314135459,NA,-1.89730549691152,NA
"13",1025,"Alabama","Clarke",0.342909091,0.277084862,0.119030303,3.28,0.243253779,0.057507987,0.004684616,1.0206669999957,-0.0315130924008153,1.96398663672114,-0.628203989709573,-1.35930658768037,-1.25355842293533,-1.892075177621,6.10797690707251
"14",1027,"Alabama","Clay",0.277273569,0.297770701,0.016484534,5.103773585,0.313360495,NA,0.010162824,-0.241594957693308,0.398793900081128,-1.19504313663593,0.31765776804712,-0.993073859002178,NA,-1.48620548273915,NA
"15",1029,"Alabama","Cleburne",0.305287603,0.230080954,0.088424437,4.317073171,0.214333156,NA,0.00917899,0.297153700382521,-1.00928877200356,1.02114089207245,-0.0903478322829002,-1.51038596039501,NA,-1.55909581574483,NA
"16",1031,"Alabama","Coffee",0.288358238,0.272955274,0.062213107,3.820895522,0.306611802,0.100066363,0.013309582,-0.0284214265637061,-0.117416815835456,0.213673429721206,-0.347679919501788,-1.02832857343498,-0.018255236662945,-1.2530683493322,3.00684375105228
"17",1033,"Alabama","Colbert",0.285600707,0.307169411,0.049911661,3.363013699,0.396945498,0.084717018,0.013747646,-0.0814525653797898,0.594305942561491,-0.165285493190028,-0.585150683147934,-0.556431473338803,-0.463786682357537,-1.22061304606173,2.14784301453427
"18",1035,"Alabama","Conecuh",0.391449725,0.210570825,0.087652257,3.989473684,0.565146158,NA,0.004832291,1.95417059428883,-1.41513863542581,0.997353078745989,-0.260250406353799,0.322237364569286,NA,-1.88113422627492,NA
"19",1037,"Alabama","Coosa",0.294717573,0.340366463,0.048378661,3.458646617,0.5281602,NA,0.006450043,0.093877389719042,1.28487129044932,-0.212511163149716,-0.535552684436443,0.129025228928573,NA,-1.76127815096079,NA
"20",1039,"Alabama","Covington",0.312045327,0.282173224,0.088276441,3.424460432,0.421533138,0.092041614,0.007875032,0.427114088688139,0.0743350556428492,1.01658172034946,-0.553282629261307,-0.427987309887231,-0.251182310965219,-1.65570350855218,3.4032883346844
"21",1041,"Alabama","Crenshaw",0.340210617,0.306480648,0.102299592,3.666666667,0.390480521,NA,0.007077526,0.96877160905156,0.579978288988299,1.44857956830827,-0.427667466797634,-0.590204074633546,NA,-1.71478916519144,NA
"22",1043,"Alabama","Cullman",0.26533896,0.263299132,0.065393606,3.926470588,0.373898891,0.096415298,0.012112984,-0.471114011729214,-0.318283960890514,0.311652031209215,-0.292925635130442,-0.676825384934718,-0.124231372307491,-1.34172195013674,3.53675434633833
"23",1045,"Alabama","Dale",0.310169492,0.286677656,0.057010786,3.404255319,0.496472449,0.096575649,0.01285961,0.39103918462321,0.16803628703885,0.053410484795992,-0.563761585561057,-0.0365094327492757,-0.119577009997661,-1.28640589298614,1.50058893442807
"24",1047,"Alabama","Dallas",0.408272506,0.371227034,0.07632951,2.822033898,0.448884613,0.103309481,0.003062885,2.27769596335398,1.92683314141826,0.648544003169313,-0.865718462883995,-0.285105059881064,0.075879793274694,-2.01222604924735,-0.468815322865214
"25",1049,"Alabama","DeKalb",0.257880552,0.283746273,0.078864107,4.658119658,0.367863926,0.084597047,0.012250869,-0.614549523422462,0.107057633838335,0.7266249173264,0.0865287451188753,-0.708351632711427,-0.467268971215559,-1.33150632070485,3.65471498642349
"26",1051,"Alabama","Elmore",0.241131837,0.236375503,0.050553272,4.262711864,0.538152017,0.07775533,0.014066789,-0.936650500766335,-0.878349512096323,-0.145519994606528,-0.118541179207031,0.181221803139283,-0.665857254040869,-1.19696836662756,3.46962501499231
"27",1053,"Alabama","Escambia",0.350364964,0.293772242,0.063985091,2.564935065,0.344777865,0.091454503,0.00842551,1.16405376012935,0.315617923179618,0.268261252002907,-0.99905735763423,-0.82895164932697,-0.268223846784056,-1.6149196723234,2.4997420947626
"28",1055,"Alabama","Etowah",0.313510408,0.286526818,0.073911567,3.137931034,0.189353803,0.108645422,0.01241728,0.455289624661374,0.164898553726124,0.574056737612015,-0.701885066685713,-1.64087640598663,0.230761288730758,-1.31917725583638,3.38504599900249
"29",1057,"Alabama","Fayette",0.305770471,0.272987591,0.073984526,4.083969466,0.396666871,NA,0.008993399,0.306439920533026,-0.116744557336489,0.576304315990742,-0.211242159278484,-0.557887001886075,NA,-1.57284588922558,NA
"30",1059,"Alabama","Franklin",0.279324509,0.306995365,0.046554085,3.577777778,0.374708062,0.117337283,0.014896414,-0.202152542052846,0.590685436242482,-0.268719137052108,-0.473767816910216,-0.672598330521026,0.483052014954348,-1.13550307622305,1.1415651774582
"31",1061,"Alabama","Geneva",0.286227312,0.267949827,0.07085315,3.567567568,0.423496755,0.21852681,0.00920037,-0.0694020837214322,-0.221540165369298,0.479838999946588,-0.479063127280481,-0.417729507881658,3.42018817636462,-1.55751181344397,-0.195102478721188
"32",1063,"Alabama","Greene",0.506844507,0.338440111,0.080730081,2.333333333,0.723803364,NA,0.001478449,4.17337201138759,1.24479930035109,0.784108199960032,-1.11917271796774,1.15105184616386,NA,-2.12961380741203,NA
"33",1065,"Alabama","Hale",0.338788233,0.284192586,0.086693941,4.041237113,0.460669598,NA,0.003961558,0.941417195500533,0.116341840523672,0.967831151066219,-0.233404394138168,-0.223541097678334,NA,-1.94564512783864,NA
"34",1067,"Alabama","Henry",0.305277951,0.298606503,0.067613991,4.601769912,0.384637816,NA,0.007687109,0.296968079059731,0.416180260137899,0.380053315745054,0.057304136187661,-0.620725969212258,NA,-1.66962635534282,NA
