"","county_fips","state","county","avg_county_collectivism_score","county_collectivism_score"
"1",1001,"Alabama","Autauga",37.5321067959305,37.3988181533742
"2",1003,"Alabama","Baldwin",37.5321067959305,35.5450397168061
"3",1005,"Alabama","Barbour",37.5321067959305,36.0186542801033
"4",1007,"Alabama","Bibb",37.5321067959305,39.641730913348
"5",1009,"Alabama","Blount",37.5321067959305,41.3719167059408
"6",1011,"Alabama","Bullock",37.5321067959305,38.1351061592807
"7",1013,"Alabama","Butler",37.5321067959305,38.464010714213
"8",1015,"Alabama","Calhoun",37.5321067959305,38.8645146131445
"9",1017,"Alabama","Chambers",37.5321067959305,41.6294928463171
"10",1019,"Alabama","Cherokee",37.5321067959305,36.0460372716693
"11",1021,"Alabama","Chilton",37.5321067959305,43.1890764857206
"12",1023,"Alabama","Choctaw",37.5321067959305,39.5679581573678
"13",1025,"Alabama","Clarke",37.5321067959305,39.7475423572329
"14",1027,"Alabama","Clay",37.5321067959305,40.2415422172163
"15",1029,"Alabama","Cleburne",37.5321067959305,41.3566634655237
"16",1031,"Alabama","Coffee",37.5321067959305,37.2436216901642
"17",1033,"Alabama","Colbert",37.5321067959305,35.7422782784293
"18",1035,"Alabama","Conecuh",37.5321067959305,31.19512466482
"19",1037,"Alabama","Coosa",37.5321067959305,38.1844400185211
"20",1039,"Alabama","Covington",37.5321067959305,37.2751176258725
"21",1041,"Alabama","Crenshaw",37.5321067959305,39.4401294872311
"22",1043,"Alabama","Cullman",37.5321067959305,40.323423766227
"23",1045,"Alabama","Dale",37.5321067959305,34.0943405705487
"24",1047,"Alabama","Dallas",37.5321067959305,32.068567910968
"25",1049,"Alabama","DeKalb",37.5321067959305,41.8263010600554
"26",1051,"Alabama","Elmore",37.5321067959305,39.1976123040056
"27",1053,"Alabama","Escambia",37.5321067959305,33.3188657484722
"28",1055,"Alabama","Etowah",37.5321067959305,37.4532807323288
"29",1057,"Alabama","Fayette",37.5321067959305,38.0065065468573
"30",1059,"Alabama","Franklin",37.5321067959305,38.7510155337515
