"","state","state_collectivism_raw","state_collectivism_score","VC_score","rank_new","rank_old","VC_score_t"
"1","Alabama",1.11944919204133,49.1348817377899,57,18,12,43.3333333333333
"2","Alaska",3.46471538417706,60.1834178027655,48,6,27,28.3333333333333
"3","Arizona",1.44904784574847,50.6876191731658,49,16,26,30
"4","Arkansas",1.07554390980084,48.9280441958922,54,19,17,38.3333333333333
"5","California",6.44506680354045,74.2238368620413,60,4,7,48.3333333333333
"6","Colorado",-1.42705665297634,37.1383067806727,36,32,45,8.33333333333333
"7","Connecticut",-0.756430226387679,40.2976241686674,50,29,25,31.6666666666667
"8","Delaware",0.152665503834034,44.5803691276621,55,27,16,40
"9","Florida",-1.53023977036132,36.6522116851363,54,33,17,38.3333333333333
"10","Georgia",3.37164863226961,59.7449808490638,60,7,7,48.3333333333333
"11","Hawaii",10.0510134902216,91.2114317669483,91,2,1,100
"12","Idaho",0.157754366748424,44.6043427327172,42,26,37,18.3333333333333
"13","Illinois",1.45253787682177,50.7040606902569,52,15,21,35
"14","Indiana",-1.20741430958653,38.1730406460547,57,31,12,43.3333333333333
"15","Iowa",-2.67162749229877,31.2751404374319,39,41,41,13.3333333333333
"16","Kansas",-2.46750492805445,32.2367607090629,38,39,42,11.6666666666667
"17","Kentucky",0.675911948185479,47.0453802341509,53,23,19,36.6666666666667
"18","Louisiana",0.78043822640722,47.5378029529634,72,21,2,68.3333333333333
"19","Maine",-9.31038298812634,0,45,50,34,23.3333333333333
"20","Maryland",2.69468775487609,56.5558218983484,63,9,5,53.3333333333333
"21","Massachusetts",0.936517292490212,48.2730905703726,46,20,30,25
"22","Michigan",-2.05546967888375,34.1778564899039,46,37,30,25
"23","Minnesota",0.333000097226659,45.4299244001264,41,24,40,16.6666666666667
"24","Mississippi",3.267260780479,59.253210256403,64,8,4,55
"25","Missouri",-1.67067947014002,35.990601035922,46,35,30,25
"26","Montana",-9.21185838947396,0.464148839542507,31,49,50,0
"27","Nebraska",-2.56071950204191,31.7976273663596,35,40,47,6.66666666666667
"28","Nevada",2.57157525675117,55.9758396003288,52,10,21,35
"29","New Hampshire",-4.19269382856544,24.1094053367359,43,45,36,20
"30","New Jersey",5.6077755239731,70.279362273097,59,5,10,46.6666666666667
"31","New Mexico",-1.58636743411268,36.3877945715143,51,34,24,33.3333333333333
"32","New York",2.34077600759797,54.8885456135784,53,12,19,36.6666666666667
"33","North Carolina",2.00106701004816,53.2881784042562,56,13,14,41.6666666666667
"34","North Dakota",-4.12228304448952,24.4411101512404,37,44,43,10
"35","Ohio",-1.92211310555202,34.8060985695867,45,36,34,23.3333333333333
"36","Oklahoma",0.24999444714768,45.0388852415142,42,25,37,18.3333333333333
"37","Oregon",-3.94948689926519,25.2551518360613,33,43,49,3.33333333333333
"38","Pennsylvania",0.0667959321232838,44.1758380500763,52,28,21,35
"39","Rhode Island",-1.1990451429032,38.2124677440296,48,30,27,28.3333333333333
"40","South Carolina",1.43127629286324,50.6038974857763,70,17,3,65
"41","South Dakota",-4.95092506300064,20.5373821833132,36,47,45,8.33333333333333
"42","Tennessee",1.70396249213411,51.8885206629526,56,14,14,41.6666666666667
"43","Texas",7.23464444522752,77.943532766724,58,3,11,45
"44","Utah",11.9165576521847,100,61,1,6,50
"45","Vermont",-7.4858972166603,8.5951423824178,42,48,37,18.3333333333333
"46","Virginia",2.45121096684719,55.4088040960443,60,11,7,48.3333333333333
"47","Washington",0.694967965448537,47.135153026123,37,22,43,10
"48","West Virginia",-3.35771690787646,28.0429769937995,48,42,27,28.3333333333333
"49","Wisconsin",-2.07609143238655,34.0807075231629,46,38,30,25
"50","Wyoming",-4.94274795005733,20.5759045171807,35,46,47,6.66666666666667
