"","state","state_collectivism_raw","state_collectivism_score","VC_score","rank_new","rank_old","VC_score_t"
"1","Alabama",1.4049489921584,45.2728401163952,57,17,12,43.3333333333333
"2","Alaska",3.716729600473,54.7870699539993,48,6,27,28.3333333333333
"3","Arizona",1.52060178645844,45.7488140312096,49,16,26,30
"4","Arkansas",0.826961081699717,42.8941066830917,54,23,17,38.3333333333333
"5","California",6.77345559827398,67.3671537167319,60,4,7,48.3333333333333
"6","Colorado",-1.76309486397439,32.2346230492351,36,33,45,8.33333333333333
"7","Connecticut",-0.543608313868262,37.2534709796343,50,29,25,31.6666666666667
"8","Delaware",-0.135937783587055,38.9312561073247,55,27,16,40
"9","Florida",-1.59879481376371,32.9108067815547,54,31,17,38.3333333333333
"10","Georgia",3.45304889860839,53.7018809908868,60,7,7,48.3333333333333
"11","Hawaii",10.2388442735105,81.6291058302883,91,2,1,100
"12","Idaho",1.01901417116994,43.6845092099015,42,19,37,18.3333333333333
"13","Illinois",0.838835238407085,42.9429752719342,52,22,21,35
"14","Indiana",-1.58590748991266,32.9638451021763,57,30,12,43.3333333333333
"15","Iowa",-3.07066532376002,26.8532621023881,39,40,41,13.3333333333333
"16","Kansas",-2.14353068461411,30.6689235088005,38,35,42,11.6666666666667
"17","Kentucky",0.890543790934759,43.1557839837768,53,21,19,36.6666666666667
"18","Louisiana",0.967232538969865,43.4713997356089,72,20,2,68.3333333333333
"19","Maine",-9.59550776060435,0,45,50,34,23.3333333333333
"20","Maryland",2.77121420147972,50.8957617612317,63,10,5,53.3333333333333
"21","Massachusetts",0.717906415049292,42.4452876387396,46,24,30,25
"22","Michigan",-2.24135188007259,30.2663362852405,46,37,30,25
"23","Minnesota",-0.20978134223547,38.6273498514798,41,28,40,16.6666666666667
"24","Mississippi",3.44955917871126,53.6875189026113,64,8,4,55
"25","Missouri",-2.03630371246036,31.1102205999656,46,34,30,25
"26","Montana",-9.43017718783242,0.680424891046088,31,49,50,0
"27","Nebraska",-2.17661756141308,30.5327530827048,35,36,47,6.66666666666667
"28","Nevada",2.38274252584965,49.2969903232974,52,12,21,35
"29","New Hampshire",-3.80604673813114,23.8267691170827,43,42,36,20
"30","New Jersey",6.02588288308656,64.2904869227318,59,5,10,46.6666666666667
"31","New Mexico",-5.26707512454096,17.8138456512608,51,46,24,33.3333333333333
"32","New York",2.63669511364527,50.342142825854,53,11,19,36.6666666666667
"33","North Carolina",1.6158661407613,46.1408784679943,56,15,14,41.6666666666667
"34","North Dakota",-4.29794714742166,21.8023323974523,37,44,43,10
"35","Ohio",-2.30062709230453,30.0223866687331,45,38,34,23.3333333333333
"36","Oklahoma",0.253265545665425,40.5330386963604,42,25,37,18.3333333333333
"37","Oregon",-3.85182764226291,23.6383558902755,33,43,49,3.33333333333333
"38","Pennsylvania",0.202330950615406,40.3234152389059,52,26,21,35
"39","Rhode Island",-1.6913147250154,32.5300372149975,48,32,27,28.3333333333333
"40","South Carolina",1.67544332202443,46.3860708506863,70,13,3,65
"41","South Dakota",-4.53850284768346,20.8123153461781,36,45,45,8.33333333333333
"42","Tennessee",1.65019192496012,46.2821476693401,56,14,14,41.6666666666667
"43","Texas",7.37689895449737,69.8506501023471,58,3,11,45
"44","Utah",14.7026293222049,100,61,1,6,50
"45","Vermont",-8.15485387312586,5.92907136283194,42,48,37,18.3333333333333
"46","Virginia",3.12586010993508,52.3553218388076,60,9,7,48.3333333333333
"47","Washington",1.18863352743733,44.3825847689014,37,18,43,10
"48","West Virginia",-3.3071047455472,25.8801857674354,48,41,27,28.3333333333333
"49","Wisconsin",-2.38308266504976,29.6830373084747,46,39,30,25
"50","Wyoming",-5.2956747674053,17.6961426242062,35,47,47,6.66666666666667
