year,state,state_po,office,candidate,party_detailed,candidatevotes,totalvotes,percentage,
2008,ALABAMA,AL,US PRESIDENT,"BARR, BOB",LIBERTARIAN,4991,2099819,0.002376872,ADDED BY EW 03/08/2024
2012,ALABAMA,AL,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,12382,2074338,0.005969133,ADDED BY EW 03/08/2024
2016,ALABAMA,AL,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,44467,2123372,0.020941691,
2020,ALABAMA,AL,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,25176,2323282,0.010836394,
2008,ALASKA,AK,US PRESIDENT,"BARR, BOB",LIBERTARIAN,1589,326197,0.004871289,
2012,ALASKA,AK,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,7392,300495,0.024599411,
2016,ALASKA,AK,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,18725,318608,0.05877128,
2020,ALASKA,AK,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,8897,359530,0.024746196,
2008,ARIZONA,AZ,US PRESIDENT,"BARR, BOB",LIBERTARIAN,12555,2293475,0.005474226,
2012,ARIZONA,AZ,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,32100,2299254,0.01396105,
2016,ARIZONA,AZ,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,106327,2573165,0.041321485,
2020,ARIZONA,AZ,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,51465,3387326,0.0151934,
2008,ARKANSAS,AR,US PRESIDENT,"BARR, BOB",LIBERTARIAN,4776,1086617,0.004395293,
2012,ARKANSAS,AR,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,16276,1069468,0.015218782,
2016,ARKANSAS,AR,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,29829,1130635,0.02638252,
2020,ARKANSAS,AR,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,13133,1219069,0.010772975,
2008,CALIFORNIA,CA,US PRESIDENT,"BARR, BOB",LIBERTARIAN,67582,13561900,0.004983225,
2012,CALIFORNIA,CA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,143221,13038547,0.010984429,
2016,CALIFORNIA,CA,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,478500,14181595,0.033740916,
2020,CALIFORNIA,CA,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,187895,17500881,0.010736317,
2008,COLORADO,CO,US PRESIDENT,"BARR, BOB",LIBERTARIAN,10897,2401361,0.004537843,
2012,COLORADO,CO,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,35545,2569516,0.013833344,
2016,COLORADO,CO,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,144121,2780220,0.051837984,
2020,COLORADO,CO,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,52460,3279980,0.015994,
2008,CONNECTICUT,CT,US PRESIDENT,,LIBERTARIAN,0,1646792,0,ADDED BY EW 03/08/2024
2012,CONNECTICUT,CT,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,12340,1558204,0.007919374,
2016,CONNECTICUT,CT,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,48676,1644920,0.029591713,
2020,CONNECTICUT,CT,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,20230,1823857,0.011091878,
2008,DELAWARE,DE,US PRESIDENT,"BARR, BOB",LIBERTARIAN,1109,412412,0.002689059,
2012,DELAWARE,DE,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,3882,413890,0.009379304,
2016,DELAWARE,DE,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,14757,441590,0.033417876,
2020,DELAWARE,DE,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,5000,504346,0.009913829,
2008,DISTRICT OF COLUMBIA,DC,US PRESIDENT,,OTHER,1138,265853,0.004280561,ADDED BY EW 03/08/2024
2012,DISTRICT OF COLUMBIA,DC,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,2083,293764,0.007090726,
2016,DISTRICT OF COLUMBIA,DC,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,4906,312575,0.015695433,
2020,DISTRICT OF COLUMBIA,DC,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,2036,344356,0.005912486,
2008,FLORIDA,FL,US PRESIDENT,"BARR, BOB",LIBERTARIAN,17218,8390744,0.002052023,
2012,FLORIDA,FL,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,44726,8474179,0.005277915,
2016,FLORIDA,FL,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,207043,9420039,0.021978996,
2020,FLORIDA,FL,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,70324,11067456,0.006354125,
