state,self_employed,divorce_marriage,living_alone,living_alone_65over,living_grandchildren,carpool_drive_alone,libertarian_vote,religious_adherents,living_alone_reverse,living_alone_65over_reverse,divorce_marriage_reverse,libertarian_vote_reverse,self_employed_reverse,state_collectivism_raw,state_collectivism_score
Alabama,0.08967192,0.25691603,0.30379381,0.1239283,0.0380138,0.09792213,0.010031023,0.636013446,0.69620619,0.8760717,3.892322328,0.989968978,0.91032808,1.63338096,47.90542989
Alaska,0.09903232,0.22471443,0.27537295,0.09208854,0.04060857,0.184803269,0.028247044,0.351817789,0.72462705,0.90791146,4.450092502,0.971752956,0.90096768,3.53476374,56.24843396
Arizona,0.09901929,0.2484001,0.27095697,0.11605411,0.03768574,0.141945037,0.01898754,0.440657221,0.72904303,0.88394589,4.025763275,0.98101246,0.90098071,1.294564819,46.41875162
Arkansas,0.10203542,0.2657074,0.29229133,0.12110585,0.03794542,0.119241723,0.014192393,0.577639428,0.70770867,0.87889415,3.763538388,0.985807608,0.89796458,0.90028805,44.68871982
California,0.11395531,0.19362614,0.23857093,0.09689278,0.04553889,0.139496259,0.015111222,0.448336715,0.76142907,0.90310722,5.16459193,0.984888778,0.88604469,6.113529882,67.56370233
Colorado,0.11407493,0.22756832,0.27876854,0.10043572,0.02790956,0.117372775,0.021550793,0.354094436,0.72123146,0.89956428,4.394284758,0.978449207,0.88592507,-1.85377607,32.60426822
Connecticut,0.09713483,0.21978818,0.28704284,0.12376588,0.02553511,0.105036624,0.012150741,0.473712015,0.71295716,0.87623412,4.54983521,0.987849259,0.90286517,-0.541364705,38.36294736
Delaware,0.0872011,0.22850983,0.28823393,0.12421337,0.0340574,0.106337031,0.013850017,0.413569198,0.71176607,0.87578663,4.376179353,0.986149983,0.9127989,-0.122645249,40.2002303
District of Columbia,0.07610491,0.27104933,0.46335006,0.1062115,0.02252308,0.150521746,0.008244802,0.564489627,0.53664994,0.8937885,3.689365327,0.991755199,0.92389509,-1.131271276,35.7745191
Florida,0.1240274,0.26900412,0.28299667,0.12995663,0.03365882,0.121401393,0.008915765,0.470794176,0.71700333,0.87004337,3.717415183,0.991084235,0.8759726,-1.647572987,33.50905876
Georgia,0.09896126,0.24158352,0.27502667,0.09863904,0.04059485,0.120903849,0.015461964,0.507840993,0.72497333,0.90136096,4.139355201,0.984538036,0.90103874,3.29303592,55.1877658
Hawaii,0.11110535,0.1877784,0.2453865,0.11012676,0.05562079,0.208105922,0.014417836,0.414857439,0.7546135,0.88987324,5.325426141,0.985582164,0.88889465,9.617895159,82.94037141
Idaho,0.12356562,0.21720756,0.24736608,0.10771734,0.02893319,0.11613126,0.020004659,0.527376345,0.75263392,0.89228266,4.603891319,0.979995342,0.87643438,0.509540294,42.97417283
Illinois,0.08676277,0.20487438,0.30409633,0.12109518,0.03032555,0.112870664,0.015792425,0.508125575,0.69590367,0.87890482,4.881039786,0.984207575,0.91323723,1.063080892,45.40303224
Indiana,0.07754736,0.25246607,0.29434134,0.11593438,0.0299434,0.115261785,0.024562314,0.421402579,0.70565866,0.88406562,3.960928294,0.975437687,0.92245264,-1.483576743,34.22865155
Iowa,0.10110702,0.2108538,0.30200467,0.12596472,0.01872398,0.100981468,0.015127663,0.448646849,0.69799533,0.87403528,4.742622613,0.984872337,0.89889298,-2.858222385,28.19689702
Kansas,0.09464095,0.22104602,0.29710657,0.12005816,0.02617074,0.111338858,0.023030028,0.460277819,0.70289343,0.87994184,4.523944833,0.976969972,0.90535905,-1.995236644,31.98355883
Kentucky,0.08315115,0.26691622,0.29043209,0.12144975,0.0361802,0.115450277,0.013246443,0.494089887,0.70956791,0.87855025,3.746493937,0.986753557,0.91684885,0.927546008,44.80832396
Louisiana,0.10307404,0.26792933,0.30750358,0.12020978,0.03778241,0.108644416,0.009474837,0.633227538,0.69249642,0.87979022,3.732327476,0.990525164,0.89692596,1.247138992,46.21065367
