"","state","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian20","religious_adherents","living_alone_reverse","living_alone_65over_reverse","divorce_marriage_reverse","libertarian20_reverse","self_employed_reverse","state_collectivism_raw","state_collectivism_score"
"1","Alabama",0.08967192,0.25691603,0.30379381,0.1239283,0.0380138,0.09792213,0.010836394,0.636013446,0.69620619,0.8760717,3.89232232803846,0.989163606,0.91032808,1.11944919204133,49.1348817377899
"2","Alaska",0.09903232,0.22471443,0.27537295,0.09208854,0.04060857,0.184803269,0.024746196,0.351817789,0.72462705,0.90791146,4.45009250184779,0.975253804,0.90096768,3.46471538417706,60.1834178027655
"3","Arizona",0.09901929,0.2484001,0.27095697,0.11605411,0.03768574,0.141945037,0.0151934,0.440657221,0.72904303,0.88394589,4.02576327465247,0.9848066,0.90098071,1.44904784574847,50.6876191731658
"4","Arkansas",0.10203542,0.2657074,0.29229133,0.12110585,0.03794542,0.119241723,0.010772975,0.577639428,0.70770867,0.87889415,3.76353838846792,0.989227025,0.89796458,1.07554390980084,48.9280441958922
"5","California",0.11395531,0.19362614,0.23857093,0.09689278,0.04553889,0.139496259,0.010736317,0.448336715,0.76142907,0.90310722,5.16459192958141,0.989263683,0.88604469,6.44506680354045,74.2238368620413
"6","Colorado",0.11407493,0.22756832,0.27876854,0.10043572,0.02790956,0.117372775,0.015994,0.354094436,0.72123146,0.89956428,4.39428475808935,0.984006,0.88592507,-1.42705665297634,37.1383067806727
"7","Connecticut",0.09713483,0.21978818,0.28704284,0.12376588,0.02553511,0.105036624,0.011091878,0.473712015,0.71295716,0.87623412,4.54983520951855,0.988908122,0.90286517,-0.756430226387679,40.2976241686674
"8","Delaware",0.0872011,0.22850983,0.28823393,0.12421337,0.0340574,0.106337031,0.009913829,0.413569198,0.71176607,0.87578663,4.37617935298451,0.990086171,0.9127989,0.152665503834034,44.5803691276621
"9","District of Columbia",0.07610491,0.27104933,0.46335006,0.1062115,0.02252308,0.150521746,0.005912486,0.564489627,0.53664994,0.8937885,3.68936532696834,0.994087514,0.92389509,-1.04311166401283,38.9470695009791
"10","Florida",0.1240274,0.26900412,0.28299667,0.12995663,0.03365882,0.121401393,0.006354125,0.470794176,0.71700333,0.87004337,3.71741518308344,0.993645875,0.8759726,-1.53023977036132,36.6522116851363
"11","Georgia",0.09896126,0.24158352,0.27502667,0.09863904,0.04059485,0.120903849,0.0124459,0.507840993,0.72497333,0.90136096,4.13935520105014,0.9875541,0.90103874,3.37164863226961,59.7449808490638
"12","Hawaii",0.11110535,0.1877784,0.2453865,0.11012676,0.05562079,0.208105922,0.009553558,0.414857439,0.7546135,0.88987324,5.32542614059977,0.990446442,0.88889465,10.0510134902216,91.2114317669483
"13","Idaho",0.12356562,0.21720756,0.24736608,0.10771734,0.02893319,0.11613126,0.018898313,0.527376345,0.75263392,0.89228266,4.60389131943658,0.981101687,0.87643438,0.157754366748424,44.6043427327172
"14","Illinois",0.08676277,0.20487438,0.30409633,0.12109518,0.03032555,0.112870664,0.011028643,0.508125575,0.69590367,0.87890482,4.88103978642913,0.988971357,0.91323723,1.45253787682177,50.7040606902569
"15","Indiana",0.07754736,0.25246607,0.29434134,0.11593438,0.0299434,0.115261785,0.019528419,0.421402579,0.70565866,0.88406562,3.96092829424564,0.980471581,0.92245264,-1.20741430958653,38.1730406460547
"16","Iowa",0.10110702,0.2108538,0.30200467,0.12596472,0.01872398,0.100981468,0.011550293,0.448646849,0.69799533,0.87403528,4.74262261339373,0.988449707,0.89889298,-2.67162749229877,31.2751404374319
"17","Kansas",0.09464095,0.22104602,0.29710657,0.12005816,0.02617074,0.111338858,0.022279336,0.460277819,0.70289343,0.87994184,4.52394483284521,0.977720664,0.90535905,-2.46750492805445,32.2367607090629
"18","Kentucky",0.08315115,0.26691622,0.29043209,0.12144975,0.0361802,0.115450277,0.012277421,0.494089887,0.70956791,0.87855025,3.74649393731112,0.987722579,0.91684885,0.675911948185479,47.0453802341509
"19","Louisiana",0.10307404,0.26792933,0.30750358,0.12020978,0.03778241,0.108644416,0.010076525,0.633227538,0.69249642,0.87979022,3.73232747605497,0.989923475,0.89692596,0.78043822640722,47.5378029529634
"20","Maine",0.12847359,0.2715017,0.30832925,0.14338334,0.01826096,0.118842069,0.017085494,0.307938656,0.69167075,0.85661666,3.68321818979402,0.982914506,0.87152641,-9.31038298812634,0
"21","Maryland",0.08653857,0.20878375,0.279215,0.11185295,0.03580029,0.114984733,0.011026562,0.434715982,0.720785,0.88814705,4.78964478796841,0.988973438,0.91346143,2.69468775487609,56.5558218983484
"22","Massachusetts",0.08782305,0.20080683,0.28542956,0.1227598,0.02785037,0.109152683,0.012852087,0.486402613,0.71457044,0.8772402,4.97991029488389,0.987147913,0.91217695,0.936517292490212,48.2730905703726
"23","Michigan",0.08446667,0.24401658,0.30073907,0.12657071,0.02584547,0.105563224,0.010900471,0.396790083,0.69926093,0.87342929,4.09808218769397,0.989099529,0.91553333,-2.05546967888375,34.1778564899039
"24","Minnesota",0.09173639,0.19928508,0.29057242,0.1181122,0.01913122,0.108034273,0.01067262,0.494940326,0.70942758,0.8818878,5.01793711802208,0.98932738,0.90826361,0.333000097226659,45.4299244001264
"25","Mississippi",0.08853038,0.25670365,0.29382958,0.12082114,0.04422093,0.106296894,0.006109187,0.594315834,0.70617042,0.87917886,3.89554258383159,0.993890813,0.91146962,3.267260780479,59.253210256403
"26","Missouri",0.08855479,0.24776411,0.30549675,0.12346949,0.02849504,0.102874932,0.013617157,0.484083853,0.69450325,0.87653051,4.03609707636832,0.986382843,0.91144521,-1.67067947014002,35.990601035922
"27","Montana",0.15013097,0.24534351,0.30937765,0.13411066,0.0229983,0.132190195,0.025265292,0.348371417,0.69062235,0.86588934,4.07591788346062,0.974734708,0.84986903,-9.21185838947396,0.464148839542507
"28","Nebraska",0.10589904,0.20044942,0.30024769,0.11965161,0.02131635,0.110416667,0.021208031,0.492773912,0.69975231,0.88034839,4.98878969068606,0.978791969,0.89410096,-2.56071950204191,31.7976273663596
"29","Nevada",0.09202126,0.29541595,0.27942778,0.10516203,0.04115928,0.145578796,0.010518893,0.416083288,0.72057222,0.89483797,3.3850575772906,0.989481107,0.90797874,2.57157525675117,55.9758396003288
"30","New Hampshire",0.09337128,0.23547801,0.27053691,0.12221802,0.02454204,0.094771182,0.016416888,0.272188825,0.72946309,0.87778198,4.24668103828464,0.983583112,0.90662872,-4.19269382856544,24.1094053367359
"31","New Jersey",0.08686987,0.17441053,0.26326508,0.11673883,0.03169564,0.11695693,0.006962968,0.521742182,0.73673492,0.88326117,5.73359876837712,0.993037032,0.91313013,5.6077755239731,70.279362273097
"32","New Mexico",0.09842296,0.30578092,0.31587792,0.13226024,0.0382839,0.129366812,0.013620646,0.525131262,0.68412208,0.86773976,3.27031523091761,0.986379354,0.90157704,-1.58636743411268,36.3877945715143
"33","New York",0.09515756,0.20067898,0.3031004,0.12662596,0.03240757,0.125232206,0.006954034,0.51222318,0.6968996,0.87337404,4.98308293175498,0.993045966,0.90484244,2.34077600759797,54.8885456135784
"34","North Carolina",0.09604507,0.22092281,0.29049978,0.11452069,0.03178631,0.114676677,0.008810813,0.521461316,0.70950022,0.88547931,4.52646786449982,0.991189187,0.90395493,2.00106701004816,53.2881784042562
